2022-07-27 3.93
2022-07-27 7.12
2022-11-09 7.12
2022-11-09 14.18
2023-02-03 14.18
2023-02-03 16.38
2023-12-22 12.10
2023-12-22 7.25
2023-12-22 7.40
2023-12-22 7.25
2023-12-22 6.66
2024-01-20 16.38
2024-01-20 6.66
2024-01-20 6.82
2024-01-20 7.32
2024-04-29 27.42
2024-04-29 23.48
2024-04-29 7.32
2024-04-29 7.16
2024-06-27 23.48
2024-06-27 7.16
2024-06-27 5.83
2024-09-27 21.42
2024-09-27 5.83
2024-09-27 5.29
2024-12-31 5.29
2024-12-31 6.02
2025-03-29 6.02
2025-03-29 6.11
2025-06-30 6.02
2025-06-30 6.11
2025-06-30 6.74
2025-09-17 6.74
2025-09-17 6.12
2025-12-17 6.12
2025-12-17 6.05
2026-02-23 6.05
2026-02-23 5.72
2026-03-29 5.72
2026-03-29 5.91
